,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
24,Maruti Swift Dzire ZDI,2017,648558.4823024382,40000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
25,Ford Figo Aspire 1.5 TDCi Trend,2015,563421.7323107054,100581,Diesel,Dealer,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0
26,Hyundai Verna CRDi 1.6 EX,2017,882033.8010002105,40000,Diesel,Individual,Manual,Second Owner,22.0 kmpl,1582 CC,126.2 bhp,259.87nm@ 1500-3000rpm,5.0
27,Mahindra XUV500 W10 2WD,2015,830111.5888299694,140000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
28,Hyundai Grand i10 CRDi Magna,2014,382455.1835301611,60000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5.0
29,Hyundai i20 Active 1.4 SX with AVN,2016,491874.2274692206,80000,Diesel,Individual,Manual,Third Owner,21.19 kmpl,1396 CC,88.73 bhp,219.66nm@ 1500-2750rpm,5.0
30,Mahindra Marazzo M8,2019,1498403.9110042606,5000,Diesel,Individual,Manual,First Owner,17.3 kmpl,1497 CC,121 bhp,300Nm@ 1750-2500rpm,7.0
31,Renault Duster 110PS Diesel RxL AMT,2017,778443.5798116305,50000,Diesel,Individual,Automatic,First Owner,19.6 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm,5.0
32,Toyota Innova 2.5 GX 8 STR BSIV,2012,568300.0450524441,138000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
33,Ford Classic 1.6 Duratec CLXI,2013,277903.3369477571,60000,Petrol,Individual,Manual,Second Owner,14.09 kmpl,1596 CC,99.6 bhp,146Nm@ 3400rpm,5.0
34,Toyota Etios Liva GD SP,2012,405051.6729309412,150000,Diesel,Individual,Manual,First Owner,,,,,
35,Honda Amaze EX i-Vtech,2013,275484.23876926984,120000,Petrol,Individual,Manual,Second Owner,18.0 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5.0
36,Hyundai Santro Sportz AMT BSIV,2019,522835.9577571675,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20.3 kmpl,1086 CC,68 bhp,99Nm@ 4500rpm,5.0
37,Tata Indica Vista Quadrajet VX,2012,221134.18380357983,90000,Diesel,Individual,Manual,First Owner,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0
38,Chevrolet Enjoy 1.4 LTZ 7,2013,323380.61564662884,37000,Petrol,Dealer,Manual,First Owner,13.7 kmpl,1399 CC,98.79 bhp,131Nm@ 4400rpm,7.0
39,Skoda Rapid 1.6 MPI AT Elegance,2016,539105.1345243193,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5.0
40,Maruti Swift Dzire VDi,2012,273845.3022938647,100000,Diesel,Individual,Manual,Third Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
41,Tata Indigo CS LS (TDI) BS-III,2014,246252.95443452665,45000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
42,Hyundai i10 Magna,2011,227069.91194320493,60000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
43,Hyundai Grand i10 CRDi SportZ Edition,2014,318133.92307226546,76000,Diesel,Individual,Manual,Third Owner,24.0 kmpl,1120 CC,70 bhp,159.8Nm@ 1500-2750rpm,5.0
44,Maruti Wagon R LXI CNG,2017,472951.8449228083,110000,CNG,Individual,Manual,First Owner,26.6 km/kg,998 CC,58.16 bhp,77Nm@ 3500rpm,5.0
45,Mahindra Bolero 2011-2019 ZLX,2012,352900.4414365861,135000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
46,Skoda Fabia 1.2L Diesel Elegance,2011,220320.6879210974,160000,Diesel,Individual,Manual,Third Owner,20.86 kmpl,1199 CC,75 bhp,180Nm@ 2000rpm,5.0
47,Hyundai i10 Sportz,2010,206410.75913878184,94000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0
48,Maruti Eeco 7 Seater Standard BSIV,2019,810643.8815041115,5500,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7.0
49,Honda Amaze S Petrol BSIV,2019,873927.4794570226,5000,Petrol,Individual,Manual,First Owner,19.5 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0
50,Hyundai EON D Lite Plus,2014,222981.6643793297,62000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
51,Hyundai i20 1.2 Asta,2010,160985.75019120396,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0
52,Maruti Swift Dzire VDI,2019,1025998.3336445212,30000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
53,Maruti Ertiga ZDI,2014,541562.153433491,90000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,7.0
54,Maruti Swift Dzire VXi,2012,284316.6342939257,88000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5.0
55,Renault KWID 1.0 RXL,2018,471076.36190937884,20000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0
56,Maruti Ritz VXi,2012,295536.9612802023,40000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0
57,Tata Sumo EX BS IV,2012,172250.20673634743,190000,Diesel,Individual,Manual,Third Owner,,,,,
58,Hyundai i20 Sportz 1.2,2012,255860.80610749696,120000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0
59,Tata Indica Vista TDI LS,2011,184035.49553207916,120000,Diesel,Individual,Manual,First Owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0
60,Toyota Etios VX,2017,689626.3779399213,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5.0
61,BMW X4 M Sport X xDrive20d,2019,4673963.892713874,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
62,Datsun RediGO S,2017,239249.88122270323,25000,Petrol,Individual,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,72Nm@ 4386rpm,5.0
63,Hyundai i20 Sportz 1.2,2013,290177.90553564444,70000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0
64,Hyundai i20 Active 1.4 SX with AVN,2015,512056.66743474896,90000,Diesel,Individual,Manual,First Owner,21.19 kmpl,1396 CC,88.73 bhp,219.66nm@ 1500-2750rpm,5.0
65,Hyundai Creta 1.4 E Plus,2018,835104.17177057,60000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5.0
66,Maruti Swift 1.3 ZXI,2008,214636.73279438983,90000,Petrol,Individual,Manual,First Owner,,,,,
67,Ford Ecosport 1.5 Diesel Trend,2014,474585.6293197313,48000,Diesel,Individual,Manual,First Owner,21.7 kmpl,1498 CC,98.96 bhp,215Nm@ 1750-2500rpm,5.0
68,Maruti Ertiga VXI,2015,458505.986776923,40000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0
69,Maruti Baleno Delta 1.2,2018,621387.0677514788,20000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0
70,Hyundai i10 Sportz,2014,296761.35789606714,23000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0
71,Hyundai Santro LE,2002,133431.2369537071,184000,Petrol,Individual,Manual,Second Owner,,,,,
72,Hyundai i20 Asta 1.4 CRDi,2014,461685.36150587647,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
73,Hyundai i20 1.2 Asta,2019,794457.8929522514,9400,Petrol,Dealer,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
74,Mahindra Bolero 2011-2019 Camper,2006,271598.40162174165,120000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2523 CC,83 bhp,176Nm@ 1500rpm,7.0
75,Volvo V40 D3 R-Design,2018,2898299.3313818835,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5.0
76,Maruti Alto 800 LXI Airbag,2013,172437.95737542948,60000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
77,Honda Jazz VX,2016,492387.1557670342,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
78,Hyundai Xcent 1.1 CRDi S,2016,413149.5674801852,120000,Diesel,Individual,Manual,Second Owner,24.4 kmpl,1120 CC,71 bhp,180.4Nm@ 1750-2500rpm,5.0
79,Tata Safari Storme EX,2015,658668.0626971823,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0
80,Mahindra Bolero 2011-2019 SLX,2015,499205.9756755284,50000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
81,Maruti Alto 800 VXI BSIV,2015,250922.07885839618,48000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
82,Honda City i VTEC VX,2017,707463.7551486044,18300,Petrol,Individual,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0
83,Maruti Swift Dzire AMT VXI,2017,492548.2259531357,120000,Petrol,Individual,Automatic,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
84,Hyundai Creta 1.6 CRDi SX,2016,756407.912773723,110000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
85,Hyundai i20 1.2 Asta,2017,471854.6240804568,25000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
86,Ford Ecosport 1.5 Diesel Titanium,2014,474686.0901449947,105000,Diesel,Dealer,Manual,First Owner,21.7 kmpl,1498 CC,98.96 bhp,215Nm@ 1750-2500rpm,5.0
87,Chevrolet Beat Diesel LT,2012,187749.94043660504,98000,Diesel,Individual,Manual,First Owner,25.44 kmpl,936 CC,57.6 bhp,150Nm@ 1750rpm,5.0
88,Nissan Sunny XL D,2018,838106.6721030824,35000,Diesel,Individual,Manual,First Owner,22.71 kmpl,1461 CC,84.8 bhp,200Nm@ 2000rpm,5.0
89,Toyota Fortuner 2.8 4WD AT BSIV,2018,2936802.387542929,60000,Diesel,Individual,Automatic,First Owner,15.04 kmpl,2755 CC,174.5 bhp,450Nm@ 1600-2400rpm,7.0
90,Maruti Alto LXi,2007,121765.9511379585,70000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
91,Maruti Vitara Brezza ZDi,2016,581602.8266337357,80000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
92,Ford Figo Diesel EXI Option,2012,262511.1980049409,163720,Diesel,Dealer,Manual,First Owner,18.5 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0
93,Tata Tigor 1.2 Revotron XZ Option,2017,281967.18179477454,40000,Petrol,Individual,Manual,Second Owner,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
94,Ford Figo 1.5D Trend MT,2017,760407.5035176178,62960,Diesel,Dealer,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0
95,Hyundai Grand i10 Magna AT,2019,852293.9896448494,4337,Petrol,Dealer,Automatic,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
96,Hyundai Grand i10 CRDi Sportz,2015,425538.1440503695,53000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5.0
97,Mahindra Scorpio S10 7 Seater,2015,694238.4586836551,80000,Diesel,Individual,Manual,Second Owner,15.4 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
98,Toyota Fortuner 2.5 4x2 MT TRD Sportivo,2015,1278948.2977254912,120000,Diesel,Individual,Manual,First Owner,13.0 kmpl,2494 CC,142 bhp,343Nm@ 1600-2800rpm,7.0
99,Tata Indigo CS LS (TDI) BS-III,2014,255514.7753639267,65000,Diesel,Dealer,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
100,Hyundai EON Era Plus,2013,204921.04926516028,60000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
101,Tata Indica Vista Quadrajet 90 VX,2013,270584.29825416434,100000,Diesel,Individual,Manual,First Owner,22.3 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0
102,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2018,1007486.738132675,75000,Diesel,Individual,Automatic,First Owner,21.5 kmpl,1498 CC,108.5 bhp,250Nm@ 1500-3000rpm,5.0
103,Toyota Camry 2.5 Hybrid,2016,1271703.8388009304,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0
104,Maruti Alto LX,2004,93399.3385203213,113000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
105,Maruti Swift LXI Option,2014,342605.65566488286,50000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
106,Maruti Swift Dzire VDI,2017,635816.0648455824,60000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
107,Maruti Ertiga VXI,2014,371361.60259785637,80000,Petrol,Individual,Manual,Third Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0
108,Maruti SX4 Vxi BSIII,2009,240056.10030634978,125876,Petrol,Individual,Manual,Second Owner,15.0 kmpl,1586 CC,104.68 bhp,"145@ 4,100(kgm@ rpm)",5.0
109,Maruti Baleno Zeta Automatic,2019,871188.4853715786,5000,Petrol,Individual,Automatic,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0
110,Tata Indica Vista TDI LS,2015,234003.0260748277,110000,Diesel,Individual,Manual,Second Owner,19.1 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0
111,Toyota Etios Liva GD,2013,415857.6528149403,120000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.06 bhp,170Nm@ 1800-2400rpm,5.0
112,Maruti Swift Dzire ZDI,2017,549190.6317709377,110000,Diesel,Individual,Manual,Second Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
113,Tata Sumo Gold EX BSIII,2017,524030.07227294636,140000,Diesel,Individual,Manual,First Owner,14.07 kmpl,2956 CC,69.01 bhp,223Nm@ 1600-2200rpm,7.0
114,Maruti Zen LXI,2005,128724.09979090645,90000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0
115,Maruti Esteem Lxi - BSIII,2007,181963.96621046204,70000,Petrol,Individual,Manual,Third Owner,15.9 kmpl,1298 CC,85 bhp,110Nm@ 4500rpm,5.0
116,Maruti 800 Std,1995,52463.067795586016,70000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
117,Hyundai Creta 1.6 CRDi AT SX Plus,2017,858041.8566483526,60000,Diesel,Individual,Automatic,Second Owner,17.01 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
118,Mahindra Bolero LX,2006,207731.5908909677,120000,Diesel,Individual,Manual,First Owner,,,,,
119,Maruti Swift Dzire VDI,2013,333587.7124317062,100000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
120,Mahindra Bolero Power Plus SLX,2017,497210.20564674167,100000,Diesel,Individual,Manual,Second Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7.0
121,Hyundai Xcent 1.2 CRDi SX Option,2017,604337.7692385926,31000,Diesel,Individual,Manual,First Owner,25.4 kmpl,1186 CC,73.97 bhp,190.25nm@ 1750-2250rpm,5.0
122,Honda City i VTEC CVT VX,2017,747660.5565117149,26000,Petrol,Individual,Automatic,First Owner,18.0 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0
123,Maruti Eeco Smiles 5 Seater AC,2013,228224.08963395716,80000,Petrol,Individual,Manual,Second Owner,15.1 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5.0
124,Hyundai i20 1.2 Sportz,2011,189898.13548837687,90000,Petrol,Individual,Manual,Third Owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0
125,Hyundai i20 1.2 Spotz,2018,571279.6328344216,20000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
126,Datsun RediGO T Option,2018,292550.6583847351,10000,Petrol,Individual,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,72Nm@ 4386rpm,5.0
127,Maruti Alto 800 LXI,2012,172569.09496994934,80000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
128,Chevrolet Captiva LT,2008,369277.8621783139,100000,Diesel,Individual,Manual,Second Owner,11.5 kmpl,1991 CC,147.9 bhp,320Nm@ 2000rpm,7.0
129,Tata Indigo eCS LE TDI BSIII,2010,150315.2450441822,148000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5.0
130,Hyundai Santro Xing GL,2009,121083.69797438357,90000,Petrol,Individual,Manual,Second Owner,0.0 kmpl,1086 CC,62 bhp,96.1Nm@ 3000rpm,5.0
131,Maruti Swift VXI Deca,2016,425989.3342317336,50000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
132,Tata Indica Vista TDI LS,2013,198840.0895760719,90000,Diesel,Individual,Manual,Second Owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0
133,Mahindra Scorpio 2009-2014 VLX 2WD 7S BSIV,2012,496757.5022817995,215000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7.0
134,Maruti Celerio X VXI Option BSIV,2017,410933.68279874494,25000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5.0
135,Maruti Ertiga VDI,2012,461466.139033536,87000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
136,Mahindra Verito 1.5 D2 BSIV,2012,230125.18847438024,120000,Diesel,Individual,Manual,Second Owner,21.03 kmpl,1461 CC,65 bhp,160Nm@ 2000rpm,5.0
137,Maruti Ertiga SHVS ZDI Plus,2017,827833.9647069531,70000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
138,Maruti Swift Dzire ZDi,2011,230646.15982395643,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
139,Mahindra Bolero Power Plus ZLX,2017,517339.12964554544,60000,Diesel,Individual,Manual,Second Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7.0
140,Maruti Alto LX,2011,123829.22578751345,175000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
141,Tata Indica Vista Quadrajet ZX,2012,232380.6702409351,40000,Diesel,Individual,Manual,First Owner,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0
142,Maruti Swift AMT VVT VXI,2019,951228.4519970327,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
143,Maruti Swift VXI,2019,786183.5066512024,40000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
144,Maruti Swift Dzire VXi,2012,301157.33502394514,30000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5.0
145,Maruti Swift VDI BSIV,2011,283116.8063009078,160000,Diesel,Individual,Manual,Second Owner,,,,,
146,Maruti Swift VDI,2018,827626.145301718,39000,Diesel,Dealer,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
147,Datsun GO T BSIV,2017,255869.4782284839,80000,Petrol,Individual,Manual,Second Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5.0
148,Volvo XC40 D4 Inscription BSIV,2019,3840705.3350591706,20000,Diesel,Individual,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,400Nm,5.0
149,Hyundai Santro Xing XG,2005,179651.56145644377,53563,Petrol,Dealer,Manual,Second Owner,,,,,
150,Maruti Alto 800 LXI,2013,191869.50381721283,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
151,Tata Nexon 1.2 Revotron XM,2018,438555.7126273304,70000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5.0
152,Ford Freestyle Titanium Plus Petrol BSIV,2019,759197.9478637065,6000,Petrol,Individual,Manual,First Owner,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5.0
